id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
760359,10261,"{'name': 'Harvey Barnes', 'substatValue': '1.1'}",2,1,players,number,fraction
493165,8586,"{'name': 'James Maddison', 'substatValue': '1.0'}",2,2,players,number,fraction
690107,10261,"{'name': 'Alexander Isak', 'substatValue': '0.8'}",2,3,players,number,fraction
675088,8456,"{'name': 'Rodri', 'substatValue': '0.7'}",2,4,players,number,fraction
737066,8456,"{'name': 'Erling Haaland', 'substatValue': '0.6'}",2,5,players,number,fraction
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': '1.4'}",1,6,players,number,fraction
1021382,10204,"{'name': 'Joao Pedro', 'substatValue': '1.4'}",1,7,players,number,fraction
262550,9879,"{'name': 'Bobby Reid', 'substatValue': '1.1'}",1,8,players,number,fraction
562725,8346,"{'name': 'Carlton Morris', 'substatValue': '1.1'}",1,9,players,number,fraction
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': '1.1'}",1,10,players,number,fraction
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': '1.1'}",1,11,players,number,fraction
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': '1.0'}",1,12,players,number,fraction
184321,10261,"{'name': 'Callum Wilson', 'substatValue': '0.9'}",1,13,players,number,fraction
1068482,10204,"{'name': 'Evan Ferguson', 'substatValue': '0.9'}",1,14,players,number,fraction
860914,8650,"{'name': 'Luis Diaz', 'substatValue': '0.9'}",1,15,players,number,fraction
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': '0.7'}",1,16,players,number,fraction
867414,10261,"{'name': 'Sandro Tonali', 'substatValue': '0.7'}",1,17,players,number,fraction
1050166,10203,"{'name': 'Anthony Elanga', 'substatValue': '0.6'}",1,18,players,number,fraction
789066,8586,"{'name': 'Cristian Romero', 'substatValue': '0.6'}",1,19,players,number,fraction
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': '0.6'}",1,20,players,number,fraction
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': '0.6'}",1,21,players,number,fraction
292462,8650,"{'name': 'Mohamed Salah', 'substatValue': '0.6'}",1,22,players,number,fraction
562892,9937,"{'name': 'Rico Henry', 'substatValue': '0.6'}",1,23,players,number,fraction
643717,10203,"{'name': 'Taiwo Awoniyi', 'substatValue': '0.6'}",1,24,players,number,fraction
696646,8455,"{'name': 'Axel Disasi', 'substatValue': '0.5'}",1,25,players,number,fraction
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': '0.5'}",1,26,players,number,fraction
906937,10261,"{'name': 'Anthony Gordon', 'substatValue': '0.4'}",1,27,players,number,fraction
672469,8455,"{'name': 'Ben Chilwell', 'substatValue': '0.4'}",1,28,players,number,fraction
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': '0.4'}",1,29,players,number,fraction
923498,10252,"{'name': 'Moussa Diaby', 'substatValue': '0.4'}",1,30,players,number,fraction
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': '0.4'}",1,31,players,number,fraction
416850,10204,"{'name': 'Solly March', 'substatValue': '0.4'}",1,32,players,number,fraction
524437,8654,"{'name': 'Tomas Soucek', 'substatValue': '0.4'}",1,33,players,number,fraction
666857,9937,"{'name': 'Yoane Wissa', 'substatValue': '0.4'}",1,34,players,number,fraction
521148,10261,"{'name': 'Jacob Murphy', 'substatValue': '0.3'}",1,35,players,number,fraction
1227012,10204,"{'name': 'Simon Adingra', 'substatValue': '0.3'}",1,36,players,number,fraction
956682,10261,"{'name': 'Sven Botman', 'substatValue': '0.3'}",1,37,players,number,fraction
860920,9825,"{'name': 'Edward Nketiah', 'substatValue': '0.2'}",1,38,players,number,fraction
797908,8586,"{'name': 'Emerson Royal', 'substatValue': '0.2'}",1,39,players,number,fraction
1021586,9825,"{'name': 'Gabriel Martinelli', 'substatValue': '0.2'}",1,40,players,number,fraction
955406,9825,"{'name': 'William Saliba', 'substatValue': '0.0'}",1,41,players,number,fraction
