id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': '90.9%'}",10.0,1,players,fraction,percent
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': '83.3%'}",10.0,2,players,fraction,percent
80562,8455,"{'name': 'Thiago Silva', 'substatValue': '88.9%'}",8.0,3,players,fraction,percent
210971,8657,"{'name': 'Oliver Norwood', 'substatValue': '53.8%'}",7.0,4,players,fraction,percent
675088,8456,"{'name': 'Rodri', 'substatValue': '83.3%'}",5.0,5,players,fraction,percent
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': '71.4%'}",5.0,6,players,fraction,percent
290410,8668,"{'name': 'Michael Keane', 'substatValue': '71.4%'}",5.0,7,players,fraction,percent
789578,8191,"{'name': ""Dara O'Shea"", 'substatValue': '50.0%'}",5.0,8,players,fraction,percent
789502,10203,"{'name': 'Morgan Gibbs-White', 'substatValue': '80.0%'}",4.0,9,players,fraction,percent
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': '66.7%'}",4.0,10,players,fraction,percent
831489,8650,"{'name': 'Alexis Mac Allister', 'substatValue': '66.7%'}",4.0,11,players,fraction,percent
167008,10204,"{'name': 'Pascal Gross', 'substatValue': '66.7%'}",4.0,12,players,fraction,percent
198444,9879,"{'name': 'Tim Ream', 'substatValue': '66.7%'}",4.0,13,players,fraction,percent
191869,10261,"{'name': 'Kieran Trippier', 'substatValue': '57.1%'}",4.0,14,players,fraction,percent
281207,8654,"{'name': 'Kurt Zouma', 'substatValue': '50.0%'}",4.0,15,players,fraction,percent
189982,10261,"{'name': 'Fabian Schär', 'substatValue': '40.0%'}",4.0,16,players,fraction,percent
243138,8668,"{'name': 'James Tarkowski', 'substatValue': '40.0%'}",4.0,17,players,fraction,percent
1140003,8678,"{'name': 'Illia Zabarnyi', 'substatValue': '26.7%'}",4.0,18,players,fraction,percent
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': '100.0%'}",3.0,19,players,fraction,percent
488139,8456,"{'name': 'Bernardo Silva', 'substatValue': '100.0%'}",3.0,20,players,fraction,percent
1279764,8191,"{'name': 'Ameen Al Dakhil', 'substatValue': '75.0%'}",3.0,21,players,fraction,percent
