id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
955406,9825,"{'name': 'William Saliba', 'substatValue': '97.7%'}",127.0,1,players,fraction,percent
80562,8455,"{'name': 'Thiago Silva', 'substatValue': '94.1%'}",111.0,2,players,fraction,percent
201690,10204,"{'name': 'Lewis Dunk', 'substatValue': '93.2%'}",110.0,3,players,fraction,percent
675088,8456,"{'name': 'Rodri', 'substatValue': '97.3%'}",107.0,4,players,fraction,percent
724306,8586,"{'name': 'Yves Bissouma', 'substatValue': '92.2%'}",107.0,5,players,fraction,percent
434325,9825,"{'name': 'Thomas Partey', 'substatValue': '94.1%'}",96.0,6,players,fraction,percent
797908,8586,"{'name': 'Emerson Royal', 'substatValue': '90.6%'}",96.0,7,players,fraction,percent
776151,9825,"{'name': 'Ben White', 'substatValue': '89.3%'}",92.0,8,players,fraction,percent
696646,8455,"{'name': 'Axel Disasi', 'substatValue': '92.7%'}",89.0,9,players,fraction,percent
521318,8456,"{'name': 'Manuel Akanji', 'substatValue': '88.1%'}",89.0,10,players,fraction,percent
654096,9825,"{'name': 'Declan Rice', 'substatValue': '92.3%'}",84.0,11,players,fraction,percent
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': '90.3%'}",84.0,12,players,fraction,percent
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': '92.9%'}",78.0,13,players,fraction,percent
1140003,8678,"{'name': 'Illia Zabarnyi', 'substatValue': '80.2%'}",77.0,14,players,fraction,percent
696443,9879,"{'name': 'Issa Diop', 'substatValue': '91.3%'}",73.0,15,players,fraction,percent
974618,10204,"{'name': 'Jan Paul van Hecke', 'substatValue': '97.3%'}",72.0,16,players,fraction,percent
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': '85.4%'}",70.0,17,players,fraction,percent
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': '90.8%'}",69.0,18,players,fraction,percent
1097466,8586,"{'name': 'Micky van de Ven', 'substatValue': '94.4%'}",67.0,19,players,fraction,percent
167008,10204,"{'name': 'Pascal Gross', 'substatValue': '90.4%'}",66.0,20,players,fraction,percent
1052898,8586,"{'name': 'Iyenoma Udogie', 'substatValue': '94.0%'}",63.0,21,players,fraction,percent
956682,10261,"{'name': 'Sven Botman', 'substatValue': '92.5%'}",62.0,22,players,fraction,percent
198444,9879,"{'name': 'Tim Ream', 'substatValue': '89.9%'}",62.0,23,players,fraction,percent
488139,8456,"{'name': 'Bernardo Silva', 'substatValue': '91.0%'}",61.0,24,players,fraction,percent
613182,8678,"{'name': 'Joe Rothwell', 'substatValue': '88.4%'}",61.0,25,players,fraction,percent
556972,9879,"{'name': 'Sasa Lukic', 'substatValue': '90.9%'}",60.0,26,players,fraction,percent
966027,8455,"{'name': 'Conor Gallagher', 'substatValue': '90.8%'}",59.0,27,players,fraction,percent
191869,10261,"{'name': 'Kieran Trippier', 'substatValue': '85.3%'}",58.0,28,players,fraction,percent
466672,9826,"{'name': 'Jefferson Lerma', 'substatValue': '79.5%'}",58.0,29,players,fraction,percent
363364,8456,"{'name': 'Ederson Moraes', 'substatValue': '81.4%'}",57.0,30,players,fraction,percent
493165,8586,"{'name': 'James Maddison', 'substatValue': '88.9%'}",56.0,31,players,fraction,percent
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': '82.1%'}",55.0,32,players,fraction,percent
534670,9825,"{'name': 'Martin Ødegaard', 'substatValue': '84.1%'}",53.0,33,players,fraction,percent
188058,10261,"{'name': 'Daniel Burn', 'substatValue': '79.1%'}",53.0,34,players,fraction,percent
816325,10252,"{'name': 'Boubacar Kamara', 'substatValue': '85.0%'}",51.0,35,players,fraction,percent
1120224,9826,"{'name': 'Tyrick Mitchell', 'substatValue': '77.3%'}",51.0,36,players,fraction,percent
146830,9826,"{'name': 'Joel Ward', 'substatValue': '86.2%'}",50.0,37,players,fraction,percent
935379,8586,"{'name': 'Dejan Kulusevski', 'substatValue': '84.5%'}",49.0,38,players,fraction,percent
469804,9879,"{'name': 'Kenny Tete', 'substatValue': '81.4%'}",48.0,39,players,fraction,percent
179410,8668,"{'name': 'Idrissa Gana Gueye', 'substatValue': '88.7%'}",47.0,40,players,fraction,percent
749736,9825,"{'name': 'Kai Havertz', 'substatValue': '88.7%'}",47.0,41,players,fraction,percent
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': '82.5%'}",47.0,42,players,fraction,percent
831489,8650,"{'name': 'Alexis Mac Allister', 'substatValue': '88.5%'}",46.0,43,players,fraction,percent
290410,8668,"{'name': 'Michael Keane', 'substatValue': '88.5%'}",46.0,44,players,fraction,percent
662428,9879,"{'name': 'Antonee Robinson', 'substatValue': '83.0%'}",44.0,45,players,fraction,percent
710159,10252,"{'name': 'Ezri Konsa', 'substatValue': '91.5%'}",43.0,46,players,fraction,percent
189982,10261,"{'name': 'Fabian Schär', 'substatValue': '87.8%'}",43.0,47,players,fraction,percent
789578,8191,"{'name': ""Dara O'Shea"", 'substatValue': '75.0%'}",42.0,48,players,fraction,percent
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': '95.3%'}",41.0,49,players,fraction,percent
818975,9826,"{'name': 'Eberechi Eze', 'substatValue': '84.8%'}",39.0,50,players,fraction,percent
215168,9879,"{'name': 'Bernd Leno', 'substatValue': '83.0%'}",39.0,51,players,fraction,percent
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': '82.6%'}",38.0,52,players,fraction,percent
532743,8678,"{'name': 'Philip Billing', 'substatValue': '88.1%'}",37.0,53,players,fraction,percent
815006,8456,"{'name': 'Phil Foden', 'substatValue': '82.2%'}",37.0,54,players,fraction,percent
535936,10261,"{'name': 'Joelinton', 'substatValue': '90.0%'}",36.0,55,players,fraction,percent
623716,8191,"{'name': 'Josh Cullen', 'substatValue': '87.8%'}",36.0,56,players,fraction,percent
357880,8650,"{'name': 'Andrew Robertson', 'substatValue': '75.0%'}",36.0,57,players,fraction,percent
107917,10204,"{'name': 'Jason Steele', 'substatValue': '100.0%'}",34.0,58,players,fraction,percent
961306,9937,"{'name': 'Nathan Collins', 'substatValue': '81.0%'}",34.0,59,players,fraction,percent
484878,8191,"{'name': 'Connor Roberts', 'substatValue': '86.8%'}",33.0,60,players,fraction,percent
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': '86.8%'}",33.0,61,players,fraction,percent
