id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': '1.00'}",1.40,1,players,fraction,fraction
562725,8346,"{'name': 'Carlton Morris', 'substatValue': '1.00'}",1.06,2,players,fraction,fraction
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': '1.00'}",1.01,3,players,fraction,fraction
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': '1.00'}",0.98,4,players,fraction,fraction
352887,8668,"{'name': 'Abdoulaye Doucouré', 'substatValue': '0.00'}",0.56,5,players,fraction,fraction
1197347,8455,"{'name': 'Nicolas Jackson', 'substatValue': '0.00'}",0.55,6,players,fraction,fraction
818975,9826,"{'name': 'Eberechi Eze', 'substatValue': '0.00'}",0.51,7,players,fraction,fraction
675088,8456,"{'name': 'Rodri', 'substatValue': '1.00'}",0.50,8,players,fraction,fraction
167008,10204,"{'name': 'Pascal Gross', 'substatValue': '0.00'}",0.50,9,players,fraction,fraction
696646,8455,"{'name': 'Axel Disasi', 'substatValue': '1.00'}",0.47,10,players,fraction,fraction
524437,8654,"{'name': 'Tomas Soucek', 'substatValue': '0.00'}",0.37,11,players,fraction,fraction
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': '0.00'}",0.35,12,players,fraction,fraction
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': '0.00'}",0.32,13,players,fraction,fraction
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': '0.00'}",0.32,14,players,fraction,fraction
1112684,8668,"{'name': 'Nathan Patterson', 'substatValue': '0.00'}",0.31,15,players,fraction,fraction
815006,8456,"{'name': 'Phil Foden', 'substatValue': '0.00'}",0.29,16,players,fraction,fraction
654096,9825,"{'name': 'Declan Rice', 'substatValue': '0.00'}",0.25,17,players,fraction,fraction
1258092,8657,"{'name': 'William Osula', 'substatValue': '0.00'}",0.24,18,players,fraction,fraction
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': '1.00'}",0.22,19,players,fraction,fraction
246331,10203,"{'name': 'Willy Boly', 'substatValue': '0.00'}",0.21,20,players,fraction,fraction
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': '1.00'}",0.19,21,players,fraction,fraction
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': '0.00'}",0.19,22,players,fraction,fraction
654908,8586,"{'name': 'Richarlison', 'substatValue': '0.00'}",0.17,23,players,fraction,fraction
188058,10261,"{'name': 'Daniel Burn', 'substatValue': '0.00'}",0.16,24,players,fraction,fraction
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': '0.00'}",0.15,25,players,fraction,fraction
535936,10261,"{'name': 'Joelinton', 'substatValue': '0.00'}",0.12,26,players,fraction,fraction
201690,10204,"{'name': 'Lewis Dunk', 'substatValue': '0.00'}",0.12,27,players,fraction,fraction
534670,9825,"{'name': 'Martin Ødegaard', 'substatValue': '0.00'}",0.11,28,players,fraction,fraction
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': '0.00'}",0.10,29,players,fraction,fraction
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': '0.00'}",0.09,30,players,fraction,fraction
214570,9826,"{'name': 'Jeffrey Schlupp', 'substatValue': '0.00'}",0.08,31,players,fraction,fraction
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': '0.00'}",0.08,32,players,fraction,fraction
491883,8654,"{'name': 'Said Benrahma', 'substatValue': '0.00'}",0.08,33,players,fraction,fraction
494417,9879,"{'name': 'Harry Wilson', 'substatValue': '0.00'}",0.07,34,players,fraction,fraction
493165,8586,"{'name': 'James Maddison', 'substatValue': '0.00'}",0.07,35,players,fraction,fraction
789502,10203,"{'name': 'Morgan Gibbs-White', 'substatValue': '0.00'}",0.07,36,players,fraction,fraction
532743,8678,"{'name': 'Philip Billing', 'substatValue': '0.00'}",0.07,37,players,fraction,fraction
956682,10261,"{'name': 'Sven Botman', 'substatValue': '0.00'}",0.07,38,players,fraction,fraction
793820,8657,"{'name': 'Anel Ahmedhodzic', 'substatValue': '0.00'}",0.06,39,players,fraction,fraction
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': '0.00'}",0.06,40,players,fraction,fraction
179410,8668,"{'name': 'Idrissa Gana Gueye', 'substatValue': '0.00'}",0.06,41,players,fraction,fraction
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': '0.00'}",0.05,42,players,fraction,fraction
749736,9825,"{'name': 'Kai Havertz', 'substatValue': '0.00'}",0.05,43,players,fraction,fraction
