id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
391064,8668,"{'name': 'Neal Maupay', 'substatValue': 0}",1.9,1,players,fraction,number
184321,10261,"{'name': 'Callum Wilson', 'substatValue': 1}",1.8,2,players,fraction,number
867414,10261,"{'name': 'Sandro Tonali', 'substatValue': 1}",1.6,3,players,fraction,number
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': 1}",1.3,4,players,fraction,number
690107,10261,"{'name': 'Alexander Isak', 'substatValue': 2}",1.2,5,players,fraction,number
1021382,10204,"{'name': 'Joao Pedro', 'substatValue': 1}",1.2,6,players,fraction,number
675088,8456,"{'name': 'Rodri', 'substatValue': 1}",1.2,7,players,fraction,number
737066,8456,"{'name': 'Erling Haaland', 'substatValue': 2}",1.1,8,players,fraction,number
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': 1}",1.1,9,players,fraction,number
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': 1}",1.1,10,players,fraction,number
654096,9825,"{'name': 'Declan Rice', 'substatValue': 0}",1.1,11,players,fraction,number
262550,9879,"{'name': 'Bobby Reid', 'substatValue': 1}",1.0,12,players,fraction,number
562725,8346,"{'name': 'Carlton Morris', 'substatValue': 1}",1.0,13,players,fraction,number
760359,10261,"{'name': 'Harvey Barnes', 'substatValue': 1}",1.0,14,players,fraction,number
696646,8455,"{'name': 'Axel Disasi', 'substatValue': 1}",0.9,15,players,fraction,number
1068482,10204,"{'name': 'Evan Ferguson', 'substatValue': 1}",0.9,16,players,fraction,number
416850,10204,"{'name': 'Solly March', 'substatValue': 1}",0.9,17,players,fraction,number
643717,10203,"{'name': 'Taiwo Awoniyi', 'substatValue': 1}",0.9,18,players,fraction,number
860914,8650,"{'name': 'Luis Diaz', 'substatValue': 1}",0.8,19,players,fraction,number
1227012,10204,"{'name': 'Simon Adingra', 'substatValue': 1}",0.8,20,players,fraction,number
352887,8668,"{'name': 'Abdoulaye Doucouré', 'substatValue': 0}",0.8,21,players,fraction,number
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': 1}",0.7,22,players,fraction,number
292462,8650,"{'name': 'Mohamed Salah', 'substatValue': 0}",0.7,23,players,fraction,number
789066,8586,"{'name': 'Cristian Romero', 'substatValue': 1}",0.6,24,players,fraction,number
729731,10252,"{'name': 'Matty Cash', 'substatValue': 0}",0.6,25,players,fraction,number
167008,10204,"{'name': 'Pascal Gross', 'substatValue': 0}",0.6,26,players,fraction,number
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': 1}",0.5,27,players,fraction,number
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': 0}",0.4,28,players,fraction,number
1197347,8455,"{'name': 'Nicolas Jackson', 'substatValue': 0}",0.4,29,players,fraction,number
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': 0}",0.4,30,players,fraction,number
688273,9937,"{'name': 'Vitaly Janelt', 'substatValue': 0}",0.4,31,players,fraction,number
923498,10252,"{'name': 'Moussa Diaby', 'substatValue': 1}",0.3,32,players,fraction,number
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': 0}",0.3,33,players,fraction,number
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': 0}",0.3,34,players,fraction,number
815006,8456,"{'name': 'Phil Foden', 'substatValue': 0}",0.3,35,players,fraction,number
797908,8586,"{'name': 'Emerson Royal', 'substatValue': 1}",0.2,36,players,fraction,number
672469,8455,"{'name': 'Ben Chilwell', 'substatValue': 0}",0.2,37,players,fraction,number
850354,10261,"{'name': 'Bruno Guimaraes', 'substatValue': 0}",0.2,38,players,fraction,number
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': 0}",0.2,39,players,fraction,number
674014,8678,"{'name': 'David Brooks', 'substatValue': 0}",0.2,40,players,fraction,number
570434,10252,"{'name': 'Diego Carlos', 'substatValue': 0}",0.2,41,players,fraction,number
974618,10204,"{'name': 'Jan Paul van Hecke', 'substatValue': 0}",0.2,42,players,fraction,number
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': 0}",0.2,43,players,fraction,number
491883,8654,"{'name': 'Said Benrahma', 'substatValue': 0}",0.2,44,players,fraction,number
