id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
816325,10252,"{'name': 'Boubacar Kamara', 'substatValue': 0}",4.0,1,players,fraction,number
793820,8657,"{'name': 'Anel Ahmedhodzic', 'substatValue': 1}",3.0,2,players,fraction,number
493165,8586,"{'name': 'James Maddison', 'substatValue': 1}",3.0,3,players,fraction,number
1258092,8657,"{'name': 'William Osula', 'substatValue': 1}",3.0,4,players,fraction,number
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': 0}",3.0,5,players,fraction,number
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': 0}",3.0,6,players,fraction,number
846005,8650,"{'name': 'Dominik Szoboszlai', 'substatValue': 0}",3.0,7,players,fraction,number
243138,8668,"{'name': 'James Tarkowski', 'substatValue': 0}",3.0,8,players,fraction,number
831489,8650,"{'name': 'Alexis Mac Allister', 'substatValue': 1}",2.0,9,players,fraction,number
267371,8654,"{'name': 'Emerson', 'substatValue': 1}",2.0,10,players,fraction,number
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': 1}",2.0,11,players,fraction,number
469804,9879,"{'name': 'Kenny Tete', 'substatValue': 1}",2.0,12,players,fraction,number
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': 1}",2.0,13,players,fraction,number
23354,8668,"{'name': 'Ashley Young', 'substatValue': 0}",2.0,14,players,fraction,number
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': 0}",2.0,15,players,fraction,number
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': 0}",2.0,16,players,fraction,number
654096,9825,"{'name': 'Declan Rice', 'substatValue': 0}",2.0,17,players,fraction,number
710159,10252,"{'name': 'Ezri Konsa', 'substatValue': 0}",2.0,18,players,fraction,number
199494,8657,"{'name': 'George Baldock', 'substatValue': 0}",2.0,19,players,fraction,number
820140,8650,"{'name': 'Ibrahima Konaté', 'substatValue': 0}",2.0,20,players,fraction,number
179410,8668,"{'name': 'Idrissa Gana Gueye', 'substatValue': 0}",2.0,21,players,fraction,number
1052898,8586,"{'name': 'Iyenoma Udogie', 'substatValue': 0}",2.0,22,players,fraction,number
466672,9826,"{'name': 'Jefferson Lerma', 'substatValue': 0}",2.0,23,players,fraction,number
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': 0}",2.0,24,players,fraction,number
535936,10261,"{'name': 'Joelinton', 'substatValue': 0}",2.0,25,players,fraction,number
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': 0}",2.0,26,players,fraction,number
749736,9825,"{'name': 'Kai Havertz', 'substatValue': 0}",2.0,27,players,fraction,number
562892,9937,"{'name': 'Rico Henry', 'substatValue': 0}",2.0,28,players,fraction,number
675088,8456,"{'name': 'Rodri', 'substatValue': 0}",2.0,29,players,fraction,number
