id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
675088,8456,"{'name': 'Rodri', 'substatValue': 1}",9.06,1,players,fraction,number
737066,8456,"{'name': 'Erling Haaland', 'substatValue': 0}",8.82,2,players,fraction,number
690107,10261,"{'name': 'Alexander Isak', 'substatValue': 1}",8.80,3,players,fraction,number
493165,8586,"{'name': 'James Maddison', 'substatValue': 1}",8.77,4,players,fraction,number
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': 1}",8.76,5,players,fraction,number
167008,10204,"{'name': 'Pascal Gross', 'substatValue': 0}",8.59,6,players,fraction,number
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': 1}",8.56,7,players,fraction,number
766435,8654,"{'name': 'Lucas Paquetá', 'substatValue': 1}",8.54,8,players,fraction,number
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': 0}",8.49,9,players,fraction,number
1021382,10204,"{'name': 'Joao Pedro', 'substatValue': 0}",8.44,10,players,fraction,number
215168,9879,"{'name': 'Bernd Leno', 'substatValue': 1}",8.42,11,players,fraction,number
724306,8586,"{'name': 'Yves Bissouma', 'substatValue': 0}",8.41,12,players,fraction,number
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': 1}",8.38,13,players,fraction,number
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': 0}",8.36,14,players,fraction,number
797908,8586,"{'name': 'Emerson Royal', 'substatValue': 0}",8.31,15,players,fraction,number
524437,8654,"{'name': 'Tomas Soucek', 'substatValue': 0}",8.30,16,players,fraction,number
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': 0}",8.23,17,players,fraction,number
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': 0}",8.18,18,players,fraction,number
696646,8455,"{'name': 'Axel Disasi', 'substatValue': 1}",8.15,19,players,fraction,number
818975,9826,"{'name': 'Eberechi Eze', 'substatValue': 0}",8.14,20,players,fraction,number
760359,10261,"{'name': 'Harvey Barnes', 'substatValue': 0}",8.14,21,players,fraction,number
466672,9826,"{'name': 'Jefferson Lerma', 'substatValue': 0}",8.12,22,players,fraction,number
867414,10261,"{'name': 'Sandro Tonali', 'substatValue': 0}",8.10,23,players,fraction,number
613182,8678,"{'name': 'Joe Rothwell', 'substatValue': 0}",8.05,24,players,fraction,number
562725,8346,"{'name': 'Carlton Morris', 'substatValue': 0}",8.01,25,players,fraction,number
416850,10204,"{'name': 'Solly March', 'substatValue': 0}",8.01,26,players,fraction,number
955406,9825,"{'name': 'William Saliba', 'substatValue': 0}",8.01,27,players,fraction,number
666857,9937,"{'name': 'Yoane Wissa', 'substatValue': 0}",7.97,28,players,fraction,number
1097466,8586,"{'name': 'Micky van de Ven', 'substatValue': 0}",7.96,29,players,fraction,number
191869,10261,"{'name': 'Kieran Trippier', 'substatValue': 0}",7.92,30,players,fraction,number
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': 0}",7.92,31,players,fraction,number
1021586,9825,"{'name': 'Gabriel Martinelli', 'substatValue': 0}",7.88,32,players,fraction,number
906937,10261,"{'name': 'Anthony Gordon', 'substatValue': 0}",7.86,33,players,fraction,number
672469,8455,"{'name': 'Ben Chilwell', 'substatValue': 0}",7.85,34,players,fraction,number
1120224,9826,"{'name': 'Tyrick Mitchell', 'substatValue': 0}",7.83,35,players,fraction,number
956682,10261,"{'name': 'Sven Botman', 'substatValue': 0}",7.80,36,players,fraction,number
434325,9825,"{'name': 'Thomas Partey', 'substatValue': 0}",7.80,37,players,fraction,number
538501,8586,"{'name': 'Guglielmo Vicario', 'substatValue': 0}",7.79,38,players,fraction,number
417068,8456,"{'name': 'Nathan Aké', 'substatValue': 0}",7.75,39,players,fraction,number
860914,8650,"{'name': 'Luis Diaz', 'substatValue': 0}",7.71,40,players,fraction,number
844425,9826,"{'name': 'Marc Guehi', 'substatValue': 0}",7.71,41,players,fraction,number
831489,8650,"{'name': 'Alexis Mac Allister', 'substatValue': 0}",7.69,42,players,fraction,number
212944,8657,"{'name': 'Wesley Foderingham', 'substatValue': 0}",7.67,43,players,fraction,number
214570,9826,"{'name': 'Jeffrey Schlupp', 'substatValue': 0}",7.66,44,players,fraction,number
280484,10261,"{'name': 'Nick Pope', 'substatValue': 0}",7.66,45,players,fraction,number
80562,8455,"{'name': 'Thiago Silva', 'substatValue': 0}",7.66,46,players,fraction,number
357880,8650,"{'name': 'Andrew Robertson', 'substatValue': 0}",7.65,47,players,fraction,number
966027,8455,"{'name': 'Conor Gallagher', 'substatValue': 0}",7.64,48,players,fraction,number
860920,9825,"{'name': 'Edward Nketiah', 'substatValue': 0}",7.64,49,players,fraction,number
935379,8586,"{'name': 'Dejan Kulusevski', 'substatValue': 0}",7.63,50,players,fraction,number
532743,8678,"{'name': 'Philip Billing', 'substatValue': 0}",7.63,51,players,fraction,number
562892,9937,"{'name': 'Rico Henry', 'substatValue': 0}",7.63,52,players,fraction,number
179410,8668,"{'name': 'Idrissa Gana Gueye', 'substatValue': 0}",7.62,53,players,fraction,number
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': 0}",7.61,54,players,fraction,number
654096,9825,"{'name': 'Declan Rice', 'substatValue': 0}",7.57,55,players,fraction,number
1068482,10204,"{'name': 'Evan Ferguson', 'substatValue': 0}",7.55,56,players,fraction,number
159833,8456,"{'name': 'Kyle Walker', 'substatValue': 0}",7.54,57,players,fraction,number
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': 0}",7.51,58,players,fraction,number
534670,9825,"{'name': 'Martin Ødegaard', 'substatValue': 0}",7.50,59,players,fraction,number
535936,10261,"{'name': 'Joelinton', 'substatValue': 0}",7.49,60,players,fraction,number
696443,9879,"{'name': 'Issa Diop', 'substatValue': 0}",7.48,61,players,fraction,number
1052898,8586,"{'name': 'Iyenoma Udogie', 'substatValue': 0}",7.48,62,players,fraction,number
307317,8654,"{'name': 'Vladimir Coufal', 'substatValue': 0}",7.48,63,players,fraction,number
974618,10204,"{'name': 'Jan Paul van Hecke', 'substatValue': 0}",7.47,64,players,fraction,number
662428,9879,"{'name': 'Antonee Robinson', 'substatValue': 0}",7.46,65,players,fraction,number
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': 0}",7.45,66,players,fraction,number
363364,8456,"{'name': 'Ederson Moraes', 'substatValue': 0}",7.43,67,players,fraction,number
469701,10204,"{'name': 'Mahmoud Dahoud', 'substatValue': 0}",7.42,68,players,fraction,number
262550,9879,"{'name': 'Bobby Reid', 'substatValue': 0}",7.41,69,players,fraction,number
923498,10252,"{'name': 'Moussa Diaby', 'substatValue': 0}",7.41,70,players,fraction,number
146830,9826,"{'name': 'Joel Ward', 'substatValue': 0}",7.40,71,players,fraction,number
442277,10261,"{'name': 'Miguel Almiron', 'substatValue': 0}",7.39,72,players,fraction,number
521318,8456,"{'name': 'Manuel Akanji', 'substatValue': 0}",7.36,73,players,fraction,number
789066,8586,"{'name': 'Cristian Romero', 'substatValue': 0}",7.35,74,players,fraction,number
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': 0}",7.34,75,players,fraction,number
494417,9879,"{'name': 'Harry Wilson', 'substatValue': 0}",7.34,76,players,fraction,number
469804,9879,"{'name': 'Kenny Tete', 'substatValue': 0}",7.33,77,players,fraction,number
749736,9825,"{'name': 'Kai Havertz', 'substatValue': 0}",7.32,78,players,fraction,number
198444,9879,"{'name': 'Tim Ream', 'substatValue': 0}",7.32,79,players,fraction,number
209405,8650,"{'name': 'Virgil van Dijk', 'substatValue': 0}",7.31,80,players,fraction,number
492589,8657,"{'name': 'Max Lowe', 'substatValue': 0}",7.30,81,players,fraction,number
184321,10261,"{'name': 'Callum Wilson', 'substatValue': 0}",7.28,82,players,fraction,number
267371,8654,"{'name': 'Emerson', 'substatValue': 0}",7.28,83,players,fraction,number
292462,8650,"{'name': 'Mohamed Salah', 'substatValue': 0}",7.28,84,players,fraction,number
1227012,10204,"{'name': 'Simon Adingra', 'substatValue': 0}",7.26,85,players,fraction,number
1288450,8456,"{'name': 'Rico Lewis', 'substatValue': 0}",7.23,86,players,fraction,number
502420,9879,"{'name': 'Harrison Reed', 'substatValue': 0}",7.22,87,players,fraction,number
1195281,8678,"{'name': 'Milos Kerkez', 'substatValue': 0}",7.21,88,players,fraction,number
556972,9879,"{'name': 'Sasa Lukic', 'substatValue': 0}",7.21,89,players,fraction,number
950474,8668,"{'name': 'James Garner', 'substatValue': 0}",7.20,90,players,fraction,number
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': 0}",7.19,91,players,fraction,number
113836,10204,"{'name': 'Danny Welbeck', 'substatValue': 0}",7.17,92,players,fraction,number
789502,10203,"{'name': 'Morgan Gibbs-White', 'substatValue': 0}",7.17,93,players,fraction,number
760712,8650,"{'name': 'Trent Alexander-Arnold', 'substatValue': 0}",7.15,94,players,fraction,number
188058,10261,"{'name': 'Daniel Burn', 'substatValue': 0}",7.13,95,players,fraction,number
846005,8650,"{'name': 'Dominik Szoboszlai', 'substatValue': 0}",7.12,96,players,fraction,number
711357,9937,"{'name': 'Ethan Pinnock', 'substatValue': 0}",7.11,97,players,fraction,number
1050166,10203,"{'name': 'Anthony Elanga', 'substatValue': 0}",7.10,98,players,fraction,number
239219,8456,"{'name': 'Mateo Kovacic', 'substatValue': 0}",7.10,99,players,fraction,number
189982,10261,"{'name': 'Fabian Schär', 'substatValue': 0}",7.07,100,players,fraction,number
815006,8456,"{'name': 'Phil Foden', 'substatValue': 0}",7.07,101,players,fraction,number
820140,8650,"{'name': 'Ibrahima Konaté', 'substatValue': 0}",7.06,102,players,fraction,number
1197347,8455,"{'name': 'Nicolas Jackson', 'substatValue': 0}",7.06,103,players,fraction,number
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': 0}",7.04,104,players,fraction,number
210164,8654,"{'name': 'Alphonse Areola', 'substatValue': 0}",7.03,105,players,fraction,number
963964,8650,"{'name': 'Harvey Elliott', 'substatValue': 0}",7.03,106,players,fraction,number
942381,9825,"{'name': 'Jurrien Timber', 'substatValue': 0}",7.03,107,players,fraction,number
643533,8586,"{'name': 'Davinson Sánchez', 'substatValue': 0}",7.01,108,players,fraction,number
850354,10261,"{'name': 'Bruno Guimaraes', 'substatValue': 0}",7.00,109,players,fraction,number
776151,9825,"{'name': 'Ben White', 'substatValue': 0}",6.99,110,players,fraction,number
201690,10204,"{'name': 'Lewis Dunk', 'substatValue': 0}",6.99,111,players,fraction,number
38807,10204,"{'name': 'James Milner', 'substatValue': 0}",6.97,112,players,fraction,number
643717,10203,"{'name': 'Taiwo Awoniyi', 'substatValue': 0}",6.97,113,players,fraction,number
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': 0}",6.96,114,players,fraction,number
280287,9826,"{'name': 'Sam Johnstone', 'substatValue': 0}",6.96,115,players,fraction,number
319784,8650,"{'name': 'Alisson Becker', 'substatValue': 0}",6.95,116,players,fraction,number
617310,8654,"{'name': 'Naif Aguerd', 'substatValue': 0}",6.95,117,players,fraction,number
290410,8668,"{'name': 'Michael Keane', 'substatValue': 0}",6.93,118,players,fraction,number
933635,8346,"{'name': 'Ryan Giles', 'substatValue': 0}",6.93,119,players,fraction,number
281207,8654,"{'name': 'Kurt Zouma', 'substatValue': 0}",6.92,120,players,fraction,number
861447,8191,"{'name': 'Jordan Beyer', 'substatValue': 0}",6.88,121,players,fraction,number
688273,9937,"{'name': 'Vitaly Janelt', 'substatValue': 0}",6.88,122,players,fraction,number
268375,10252,"{'name': 'Emiliano Martinez', 'substatValue': 0}",6.87,123,players,fraction,number
439369,8678,"{'name': 'Ryan Christie', 'substatValue': 0}",6.86,124,players,fraction,number
956621,8678,"{'name': 'Max Aarons', 'substatValue': 0}",6.84,125,players,fraction,number
266520,9937,"{'name': 'Christian Nørgaard', 'substatValue': 0}",6.83,126,players,fraction,number
1181700,10203,"{'name': 'Danilo', 'substatValue': 0}",6.83,127,players,fraction,number
570461,8650,"{'name': 'Diogo Jota', 'substatValue': 0}",6.81,128,players,fraction,number
1112684,8668,"{'name': 'Nathan Patterson', 'substatValue': 0}",6.80,129,players,fraction,number
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': 0}",6.79,130,players,fraction,number
793820,8657,"{'name': 'Anel Ahmedhodzic', 'substatValue': 0}",6.79,131,players,fraction,number
491883,8654,"{'name': 'Said Benrahma', 'substatValue': 0}",6.79,132,players,fraction,number
292313,9879,"{'name': 'Raul Jiménez', 'substatValue': 0}",6.77,133,players,fraction,number
807729,8455,"{'name': 'Reece James', 'substatValue': 0}",6.77,134,players,fraction,number
195299,10203,"{'name': 'Serge Aurier', 'substatValue': 0}",6.77,135,players,fraction,number
351860,9879,"{'name': 'Aleksandar Mitrovic', 'substatValue': 0}",6.76,136,players,fraction,number
570434,10252,"{'name': 'Diego Carlos', 'substatValue': 0}",6.76,137,players,fraction,number
650616,9937,"{'name': 'Mathias Jensen', 'substatValue': 0}",6.75,138,players,fraction,number
729988,10203,"{'name': 'Matt Turner', 'substatValue': 0}",6.75,139,players,fraction,number
295062,8657,"{'name': 'John Egan', 'substatValue': 0}",6.74,140,players,fraction,number
1140003,8678,"{'name': 'Illia Zabarnyi', 'substatValue': 0}",6.73,141,players,fraction,number
163670,8586,"{'name': 'Ivan Perisic', 'substatValue': 0}",6.73,142,players,fraction,number
318615,9825,"{'name': 'Leandro Trossard', 'substatValue': 0}",6.73,143,players,fraction,number
1067168,8191,"{'name': 'Zeki Amdouni', 'substatValue': 0}",6.69,144,players,fraction,number
961306,9937,"{'name': 'Nathan Collins', 'substatValue': 0}",6.68,145,players,fraction,number
664444,9825,"{'name': 'Takehiro Tomiyasu', 'substatValue': 0}",6.68,146,players,fraction,number
23354,8668,"{'name': 'Ashley Young', 'substatValue': 0}",6.67,147,players,fraction,number
1070712,8456,"{'name': 'Josko Gvardiol', 'substatValue': 0}",6.67,148,players,fraction,number
785411,8678,"{'name': 'Marcos Senesi', 'substatValue': 0}",6.66,149,players,fraction,number
1002039,9937,"{'name': 'Aaron Hickey', 'substatValue': 0}",6.64,150,players,fraction,number
488139,8456,"{'name': 'Bernardo Silva', 'substatValue': 0}",6.64,151,players,fraction,number
792645,10252,"{'name': 'Pau Torres', 'substatValue': 0}",6.64,152,players,fraction,number
541330,8346,"{'name': 'Marvelous Nakamba', 'substatValue': 0}",6.61,153,players,fraction,number
789571,8455,"{'name': 'Robert Sánchez', 'substatValue': 0}",6.61,154,players,fraction,number
682548,10203,"{'name': 'Ola Aina', 'substatValue': 0}",6.60,155,players,fraction,number
94086,9879,"{'name': 'Willian', 'substatValue': 0}",6.59,156,players,fraction,number
1107280,8586,"{'name': 'Pape Sarr', 'substatValue': 0}",6.58,157,players,fraction,number
210971,8657,"{'name': 'Oliver Norwood', 'substatValue': 0}",6.56,158,players,fraction,number
683450,8654,"{'name': 'Pablo Fornals', 'substatValue': 0}",6.56,159,players,fraction,number
806552,8650,"{'name': 'Cody Gakpo', 'substatValue': 0}",6.55,160,players,fraction,number
158545,8654,"{'name': 'Michail Antonio', 'substatValue': 0}",6.54,161,players,fraction,number
243138,8668,"{'name': 'James Tarkowski', 'substatValue': 0}",6.53,162,players,fraction,number
352887,8668,"{'name': 'Abdoulaye Doucouré', 'substatValue': 0}",6.51,163,players,fraction,number
169200,8456,"{'name': 'Kevin De Bruyne', 'substatValue': 0}",6.50,164,players,fraction,number
199494,8657,"{'name': 'George Baldock', 'substatValue': 0}",6.48,165,players,fraction,number
1187213,8191,"{'name': 'James Trafford', 'substatValue': 0}",6.47,166,players,fraction,number
933576,8678,"{'name': 'Antoine Semenyo', 'substatValue': 0}",6.45,167,players,fraction,number
411617,8456,"{'name': 'Aymeric Laporte', 'substatValue': 0}",6.44,168,players,fraction,number
630953,8346,"{'name': 'Mads Juel Andersen', 'substatValue': 0}",6.43,169,players,fraction,number
888912,9937,"{'name': 'Mikkel Damsgaard', 'substatValue': 0}",6.41,170,players,fraction,number
551805,10203,"{'name': 'Scott McKenna', 'substatValue': 0}",6.40,171,players,fraction,number
623716,8191,"{'name': 'Josh Cullen', 'substatValue': 0}",6.39,172,players,fraction,number
246331,10203,"{'name': 'Willy Boly', 'substatValue': 0}",6.39,173,players,fraction,number
1068902,8657,"{'name': 'Yasser Larouci', 'substatValue': 0}",6.39,174,players,fraction,number
881500,8191,"{'name': 'Lyle Foster', 'substatValue': 0}",6.38,175,players,fraction,number
819762,8678,"{'name': 'Chris Mepham', 'substatValue': 0}",6.37,176,players,fraction,number
1197250,8455,"{'name': 'Malo Gusto', 'substatValue': 0}",6.37,177,players,fraction,number
674014,8678,"{'name': 'David Brooks', 'substatValue': 0}",6.35,178,players,fraction,number
202181,8657,"{'name': 'Jack Robinson', 'substatValue': 0}",6.33,179,players,fraction,number
1089685,8455,"{'name': 'Carney Chukwuemeka', 'substatValue': 0}",6.30,180,players,fraction,number
933768,8650,"{'name': 'Curtis Jones', 'substatValue': 0}",6.30,181,players,fraction,number
746395,9825,"{'name': 'Aaron Ramsdale', 'substatValue': 0}",6.29,182,players,fraction,number
391064,8668,"{'name': 'Neal Maupay', 'substatValue': 0}",6.29,183,players,fraction,number
246575,8455,"{'name': 'Raheem Sterling', 'substatValue': 0}",6.29,184,players,fraction,number
674009,8346,"{'name': 'Chiedozie Ogbene', 'substatValue': 0}",6.28,185,players,fraction,number
