id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
215168,9879,"{'name': 'Bernd Leno', 'substatValue': 9}",9.0,1,players,fraction,number
131408,8346,"{'name': 'Thomas Kaminski', 'substatValue': 8}",8.0,2,players,fraction,number
268375,10252,"{'name': 'Emiliano Martinez', 'substatValue': 7}",7.0,3,players,fraction,number
212944,8657,"{'name': 'Wesley Foderingham', 'substatValue': 7}",7.0,4,players,fraction,number
1187213,8191,"{'name': 'James Trafford', 'substatValue': 5}",5.0,5,players,fraction,number
729988,10203,"{'name': 'Matt Turner', 'substatValue': 5}",5.0,6,players,fraction,number
280484,10261,"{'name': 'Nick Pope', 'substatValue': 5}",5.0,7,players,fraction,number
319784,8650,"{'name': 'Alisson Becker', 'substatValue': 4}",4.0,8,players,fraction,number
210164,8654,"{'name': 'Alphonse Areola', 'substatValue': 4}",4.0,9,players,fraction,number
538501,8586,"{'name': 'Guglielmo Vicario', 'substatValue': 4}",4.0,10,players,fraction,number
330643,9937,"{'name': 'Mark Flekken', 'substatValue': 4}",4.0,11,players,fraction,number
107917,10204,"{'name': 'Jason Steele', 'substatValue': 2}",2.0,12,players,fraction,number
746395,9825,"{'name': 'Aaron Ramsdale', 'substatValue': 1}",1.0,13,players,fraction,number
363364,8456,"{'name': 'Ederson Moraes', 'substatValue': 1}",1.0,14,players,fraction,number
303919,8668,"{'name': 'Jordan Pickford', 'substatValue': 1}",1.0,15,players,fraction,number
176186,8678,"{'name': 'Neto', 'substatValue': 1}",1.0,16,players,fraction,number
280287,9826,"{'name': 'Sam Johnstone', 'substatValue': 1}",1.0,17,players,fraction,number
