id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
818975,9826,"{'name': 'Eberechi Eze', 'substatValue': '7.0'}",7.0,1,players,number,fraction
493165,8586,"{'name': 'James Maddison', 'substatValue': '6.0'}",6.0,2,players,number,fraction
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': '6.0'}",6.0,3,players,number,fraction
167008,10204,"{'name': 'Pascal Gross', 'substatValue': '6.0'}",6.0,4,players,number,fraction
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': '6.0'}",6.0,5,players,number,fraction
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': '5.0'}",5.0,6,players,number,fraction
191869,10261,"{'name': 'Kieran Trippier', 'substatValue': '4.0'}",4.0,7,players,number,fraction
1021586,9825,"{'name': 'Gabriel Martinelli', 'substatValue': '3.1'}",3.0,8,players,number,fraction
352887,8668,"{'name': 'Abdoulaye Doucouré', 'substatValue': '3.0'}",3.0,9,players,number,fraction
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': '3.0'}",3.0,10,players,number,fraction
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': '3.0'}",3.0,11,players,number,fraction
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': '3.0'}",3.0,12,players,number,fraction
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': '3.0'}",3.0,13,players,number,fraction
846005,8650,"{'name': 'Dominik Szoboszlai', 'substatValue': '3.0'}",3.0,14,players,number,fraction
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': '3.0'}",3.0,15,players,number,fraction
210111,10252,"{'name': 'Lucas Digne', 'substatValue': '3.0'}",3.0,16,players,number,fraction
562892,9937,"{'name': 'Rico Henry', 'substatValue': '3.0'}",3.0,17,players,number,fraction
282276,8346,"{'name': 'Cauley Woodrow', 'substatValue': '90.0'}",2.0,18,players,number,fraction
521148,10261,"{'name': 'Jacob Murphy', 'substatValue': '45.0'}",2.0,19,players,number,fraction
1050166,10203,"{'name': 'Anthony Elanga', 'substatValue': '18.0'}",2.0,20,players,number,fraction
760359,10261,"{'name': 'Harvey Barnes', 'substatValue': '8.2'}",2.0,21,players,number,fraction
1368318,8191,"{'name': 'Luca Koleosho', 'substatValue': '3.0'}",2.0,22,players,number,fraction
906937,10261,"{'name': 'Anthony Gordon', 'substatValue': '2.6'}",2.0,23,players,number,fraction
666857,9937,"{'name': 'Yoane Wissa', 'substatValue': '2.5'}",2.0,24,players,number,fraction
469701,10204,"{'name': 'Mahmoud Dahoud', 'substatValue': '2.4'}",2.0,25,players,number,fraction
807729,8455,"{'name': 'Reece James', 'substatValue': '2.4'}",2.0,26,players,number,fraction
416850,10204,"{'name': 'Solly March', 'substatValue': '2.4'}",2.0,27,players,number,fraction
737066,8456,"{'name': 'Erling Haaland', 'substatValue': '2.3'}",2.0,28,players,number,fraction
1231770,8657,"{'name': 'Bénie Traoré', 'substatValue': '2.1'}",2.0,29,players,number,fraction
442277,10261,"{'name': 'Miguel Almiron', 'substatValue': '2.1'}",2.0,30,players,number,fraction
923498,10252,"{'name': 'Moussa Diaby', 'substatValue': '2.1'}",2.0,31,players,number,fraction
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': '2.0'}",2.0,32,players,number,fraction
267371,8654,"{'name': 'Emerson', 'substatValue': '2.0'}",2.0,33,players,number,fraction
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': '2.0'}",2.0,34,players,number,fraction
494417,9879,"{'name': 'Harry Wilson', 'substatValue': '2.0'}",2.0,35,players,number,fraction
214570,9826,"{'name': 'Jeffrey Schlupp', 'substatValue': '2.0'}",2.0,36,players,number,fraction
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': '2.0'}",2.0,37,players,number,fraction
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': '2.0'}",2.0,38,players,number,fraction
749736,9825,"{'name': 'Kai Havertz', 'substatValue': '2.0'}",2.0,39,players,number,fraction
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': '2.0'}",2.0,40,players,number,fraction
766435,8654,"{'name': 'Lucas Paquetá', 'substatValue': '2.0'}",2.0,41,players,number,fraction
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': '2.0'}",2.0,42,players,number,fraction
210971,8657,"{'name': 'Oliver Norwood', 'substatValue': '2.0'}",2.0,43,players,number,fraction
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': '2.0'}",2.0,44,players,number,fraction
815006,8456,"{'name': 'Phil Foden', 'substatValue': '2.0'}",2.0,45,players,number,fraction
933635,8346,"{'name': 'Ryan Giles', 'substatValue': '2.0'}",2.0,46,players,number,fraction
491883,8654,"{'name': 'Said Benrahma', 'substatValue': '2.0'}",2.0,47,players,number,fraction
434325,9825,"{'name': 'Thomas Partey', 'substatValue': '2.0'}",2.0,48,players,number,fraction
307317,8654,"{'name': 'Vladimir Coufal', 'substatValue': '2.0'}",2.0,49,players,number,fraction
71908,9937,"{'name': 'Mathias Jørgensen', 'substatValue': '15.0'}",1.0,50,players,number,fraction
1068482,10204,"{'name': 'Evan Ferguson', 'substatValue': '7.5'}",1.0,51,players,number,fraction
963964,8650,"{'name': 'Harvey Elliott', 'substatValue': '6.9'}",1.0,52,players,number,fraction
163670,8586,"{'name': 'Ivan Perisic', 'substatValue': '6.0'}",1.0,53,players,number,fraction
318615,9825,"{'name': 'Leandro Trossard', 'substatValue': '5.3'}",1.0,54,players,number,fraction
704151,8668,"{'name': 'Arnaut Danjuma', 'substatValue': '5.0'}",1.0,55,players,number,fraction
169200,8456,"{'name': 'Kevin De Bruyne', 'substatValue': '3.9'}",1.0,56,players,number,fraction
1069536,8191,"{'name': 'Anass Zaroury', 'substatValue': '3.2'}",1.0,57,players,number,fraction
819762,8678,"{'name': 'Chris Mepham', 'substatValue': '3.0'}",1.0,58,players,number,fraction
419664,10252,"{'name': 'Tyrone Mings', 'substatValue': '2.9'}",1.0,59,players,number,fraction
94086,9879,"{'name': 'Willian', 'substatValue': '2.0'}",1.0,60,players,number,fraction
