id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
818975,9826,"{'name': 'Eberechi Eze', 'substatValue': '0.0%'}",8.0,1,players,fraction,percent
637746,9826,"{'name': 'Odsonne Edouard', 'substatValue': '10.0%'}",7.0,2,players,fraction,percent
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': '12.5%'}",6.0,3,players,fraction,percent
675088,8456,"{'name': 'Rodri', 'substatValue': '25.0%'}",4.0,4,players,fraction,percent
562725,8346,"{'name': 'Carlton Morris', 'substatValue': '16.7%'}",4.0,5,players,fraction,percent
604785,8668,"{'name': 'Alex Iwobi', 'substatValue': '0.0%'}",4.0,6,players,fraction,percent
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': '0.0%'}",4.0,7,players,fraction,percent
1197347,8455,"{'name': 'Nicolas Jackson', 'substatValue': '0.0%'}",4.0,8,players,fraction,percent
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': '33.3%'}",3.0,9,players,fraction,percent
923312,9937,"{'name': 'Bryan Mbeumo', 'substatValue': '25.0%'}",3.0,10,players,fraction,percent
591734,8678,"{'name': 'Dominic Solanke', 'substatValue': '25.0%'}",3.0,11,players,fraction,percent
654096,9825,"{'name': 'Declan Rice', 'substatValue': '0.0%'}",3.0,12,players,fraction,percent
935379,8586,"{'name': 'Dejan Kulusevski', 'substatValue': '0.0%'}",3.0,13,players,fraction,percent
974753,8456,"{'name': 'Julián Álvarez', 'substatValue': '0.0%'}",3.0,14,players,fraction,percent
534670,9825,"{'name': 'Martin Ødegaard', 'substatValue': '0.0%'}",3.0,15,players,fraction,percent
1112684,8668,"{'name': 'Nathan Patterson', 'substatValue': '0.0%'}",3.0,16,players,fraction,percent
167008,10204,"{'name': 'Pascal Gross', 'substatValue': '0.0%'}",3.0,17,players,fraction,percent
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': '0.0%'}",3.0,18,players,fraction,percent
815006,8456,"{'name': 'Phil Foden', 'substatValue': '0.0%'}",3.0,19,players,fraction,percent
724306,8586,"{'name': 'Yves Bissouma', 'substatValue': '0.0%'}",3.0,20,players,fraction,percent
696646,8455,"{'name': 'Axel Disasi', 'substatValue': '33.3%'}",2.0,21,players,fraction,percent
352887,8668,"{'name': 'Abdoulaye Doucouré', 'substatValue': '0.0%'}",2.0,22,players,fraction,percent
793820,8657,"{'name': 'Anel Ahmedhodzic', 'substatValue': '0.0%'}",2.0,23,players,fraction,percent
179410,8668,"{'name': 'Idrissa Gana Gueye', 'substatValue': '0.0%'}",2.0,24,players,fraction,percent
493165,8586,"{'name': 'James Maddison', 'substatValue': '0.0%'}",2.0,25,players,fraction,percent
214570,9826,"{'name': 'Jeffrey Schlupp', 'substatValue': '0.0%'}",2.0,26,players,fraction,percent
503659,9826,"{'name': 'Joachim Andersen', 'substatValue': '0.0%'}",2.0,27,players,fraction,percent
154280,9826,"{'name': 'Jordan Ayew', 'substatValue': '0.0%'}",2.0,28,players,fraction,percent
749736,9825,"{'name': 'Kai Havertz', 'substatValue': '0.0%'}",2.0,29,players,fraction,percent
201690,10204,"{'name': 'Lewis Dunk', 'substatValue': '0.0%'}",2.0,30,players,fraction,percent
290410,8668,"{'name': 'Michael Keane', 'substatValue': '0.0%'}",2.0,31,players,fraction,percent
1097466,8586,"{'name': 'Micky van de Ven', 'substatValue': '0.0%'}",2.0,32,players,fraction,percent
210971,8657,"{'name': 'Oliver Norwood', 'substatValue': '0.0%'}",2.0,33,players,fraction,percent
540088,10252,"{'name': 'Ollie Watkins', 'substatValue': '0.0%'}",2.0,34,players,fraction,percent
532743,8678,"{'name': 'Philip Billing', 'substatValue': '0.0%'}",2.0,35,players,fraction,percent
654908,8586,"{'name': 'Richarlison', 'substatValue': '0.0%'}",2.0,36,players,fraction,percent
491883,8654,"{'name': 'Said Benrahma', 'substatValue': '0.0%'}",2.0,37,players,fraction,percent
524437,8654,"{'name': 'Tomas Soucek', 'substatValue': '0.0%'}",2.0,38,players,fraction,percent
1258092,8657,"{'name': 'William Osula', 'substatValue': '0.0%'}",2.0,39,players,fraction,percent
797908,8586,"{'name': 'Emerson Royal', 'substatValue': '100.0%'}",1.0,40,players,fraction,percent
1185748,8668,"{'name': 'Amadou Onana', 'substatValue': '0.0%'}",1.0,41,players,fraction,percent
816325,10252,"{'name': 'Boubacar Kamara', 'substatValue': '0.0%'}",1.0,42,players,fraction,percent
951954,9826,"{'name': 'Cheick Oumar Doucouré', 'substatValue': '0.0%'}",1.0,43,players,fraction,percent
188058,10261,"{'name': 'Daniel Burn', 'substatValue': '0.0%'}",1.0,44,players,fraction,percent
846005,8650,"{'name': 'Dominik Szoboszlai', 'substatValue': '0.0%'}",1.0,45,players,fraction,percent
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': '0.0%'}",1.0,46,players,fraction,percent
494417,9879,"{'name': 'Harry Wilson', 'substatValue': '0.0%'}",1.0,47,players,fraction,percent
243138,8668,"{'name': 'James Tarkowski', 'substatValue': '0.0%'}",1.0,48,players,fraction,percent
974618,10204,"{'name': 'Jan Paul van Hecke', 'substatValue': '0.0%'}",1.0,49,players,fraction,percent
466672,9826,"{'name': 'Jefferson Lerma', 'substatValue': '0.0%'}",1.0,50,players,fraction,percent
613182,8678,"{'name': 'Joe Rothwell', 'substatValue': '0.0%'}",1.0,51,players,fraction,percent
535936,10261,"{'name': 'Joelinton', 'substatValue': '0.0%'}",1.0,52,players,fraction,percent
295062,8657,"{'name': 'John Egan', 'substatValue': '0.0%'}",1.0,53,players,fraction,percent
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': '0.0%'}",1.0,54,players,fraction,percent
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': '0.0%'}",1.0,55,players,fraction,percent
541330,8346,"{'name': 'Marvelous Nakamba', 'substatValue': '0.0%'}",1.0,56,players,fraction,percent
