id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
524437,8654,"{'name': 'Tomas Soucek', 'substatValue': '100.0%'}",5.0,1,players,fraction,percent
654096,9825,"{'name': 'Declan Rice', 'substatValue': '100.0%'}",4.0,2,players,fraction,percent
961995,9825,"{'name': 'Bukayo Saka', 'substatValue': '80.0%'}",4.0,3,players,fraction,percent
710159,10252,"{'name': 'Ezri Konsa', 'substatValue': '80.0%'}",4.0,4,players,fraction,percent
1052898,8586,"{'name': 'Iyenoma Udogie', 'substatValue': '100.0%'}",3.0,5,players,fraction,percent
466672,9826,"{'name': 'Jefferson Lerma', 'substatValue': '100.0%'}",3.0,6,players,fraction,percent
535936,10261,"{'name': 'Joelinton', 'substatValue': '75.0%'}",3.0,7,players,fraction,percent
675088,8456,"{'name': 'Rodri', 'substatValue': '60.0%'}",3.0,8,players,fraction,percent
199494,8657,"{'name': 'George Baldock', 'substatValue': '100.0%'}",2.0,9,players,fraction,percent
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': '100.0%'}",2.0,10,players,fraction,percent
1096400,8455,"{'name': 'Levi Colwill', 'substatValue': '100.0%'}",2.0,11,players,fraction,percent
210111,10252,"{'name': 'Lucas Digne', 'substatValue': '100.0%'}",2.0,12,players,fraction,percent
1097466,8586,"{'name': 'Micky van de Ven', 'substatValue': '100.0%'}",2.0,13,players,fraction,percent
961306,9937,"{'name': 'Nathan Collins', 'substatValue': '100.0%'}",2.0,14,players,fraction,percent
933635,8346,"{'name': 'Ryan Giles', 'substatValue': '100.0%'}",2.0,15,players,fraction,percent
195299,10203,"{'name': 'Serge Aurier', 'substatValue': '100.0%'}",2.0,16,players,fraction,percent
956682,10261,"{'name': 'Sven Botman', 'substatValue': '100.0%'}",2.0,17,players,fraction,percent
369761,8346,"{'name': 'Tom Lockyer', 'substatValue': '100.0%'}",2.0,18,players,fraction,percent
246331,10203,"{'name': 'Willy Boly', 'substatValue': '100.0%'}",2.0,19,players,fraction,percent
831489,8650,"{'name': 'Alexis Mac Allister', 'substatValue': '66.7%'}",2.0,20,players,fraction,percent
471271,8346,"{'name': ""Amari'i Bell"", 'substatValue': '66.7%'}",2.0,21,players,fraction,percent
711357,9937,"{'name': 'Ethan Pinnock', 'substatValue': '66.7%'}",2.0,22,players,fraction,percent
541330,8346,"{'name': 'Marvelous Nakamba', 'substatValue': '66.7%'}",2.0,23,players,fraction,percent
935379,8586,"{'name': 'Dejan Kulusevski', 'substatValue': '50.0%'}",2.0,24,players,fraction,percent
267371,8654,"{'name': 'Emerson', 'substatValue': '50.0%'}",2.0,25,players,fraction,percent
