id,teamId,nameAndSubstatValue,statValue,rank,type,statFormat,substatFormat
1002039,9937,"{'name': 'Aaron Hickey', 'substatValue': 0}",1,1,players,number,
831489,8650,"{'name': 'Alexis Mac Allister', 'substatValue': 0}",1,2,players,number,
793820,8657,"{'name': 'Anel Ahmedhodzic', 'substatValue': 0}",1,3,players,number,
1055316,8657,"{'name': 'Anis Ben Slimane', 'substatValue': 0}",1,4,players,number,
906937,10261,"{'name': 'Anthony Gordon', 'substatValue': 0}",1,5,players,number,
776151,9825,"{'name': 'Ben White', 'substatValue': 0}",1,6,players,number,
850354,10261,"{'name': 'Bruno Guimaraes', 'substatValue': 0}",1,7,players,number,
1089685,8455,"{'name': 'Carney Chukwuemeka', 'substatValue': 0}",1,8,players,number,
819762,8678,"{'name': 'Chris Mepham', 'substatValue': 0}",1,9,players,number,
643533,8586,"{'name': 'Davinson Sánchez', 'substatValue': 0}",1,10,players,number,
570461,8650,"{'name': 'Diogo Jota', 'substatValue': 0}",1,11,players,number,
787350,10252,"{'name': 'Douglas Luiz', 'substatValue': 0}",1,12,players,number,
267371,8654,"{'name': 'Emerson', 'substatValue': 0}",1,13,players,number,
268375,10252,"{'name': 'Emiliano Martinez', 'substatValue': 0}",1,14,players,number,
1137705,8455,"{'name': 'Enzo Fernández', 'substatValue': 0}",1,15,players,number,
538501,8586,"{'name': 'Guglielmo Vicario', 'substatValue': 0}",1,16,players,number,
1099974,8346,"{'name': 'Issa Kaboré', 'substatValue': 0}",1,17,players,number,
493165,8586,"{'name': 'James Maddison', 'substatValue': 0}",1,18,players,number,
523825,8654,"{'name': 'Jarrod Bowen', 'substatValue': 0}",1,19,players,number,
942381,9825,"{'name': 'Jurrien Timber', 'substatValue': 0}",1,20,players,number,
862608,10204,"{'name': 'Kaoru Mitoma', 'substatValue': 0}",1,21,players,number,
469804,9879,"{'name': 'Kenny Tete', 'substatValue': 0}",1,22,players,number,
210111,10252,"{'name': 'Lucas Digne', 'substatValue': 0}",1,23,players,number,
766435,8654,"{'name': 'Lucas Paquetá', 'substatValue': 0}",1,24,players,number,
630953,8346,"{'name': 'Mads Juel Andersen', 'substatValue': 0}",1,25,players,number,
729731,10252,"{'name': 'Matty Cash', 'substatValue': 0}",1,26,players,number,
158545,8654,"{'name': 'Michail Antonio', 'substatValue': 0}",1,27,players,number,
1197347,8455,"{'name': 'Nicolas Jackson', 'substatValue': 0}",1,28,players,number,
682548,10203,"{'name': 'Ola Aina', 'substatValue': 0}",1,29,players,number,
873014,8586,"{'name': 'Oliver Skipp', 'substatValue': 0}",1,30,players,number,
765693,10203,"{'name': 'Orel Mangala', 'substatValue': 0}",1,31,players,number,
688278,10204,"{'name': 'Pervis Estupinán', 'substatValue': 0}",1,32,players,number,
867414,10261,"{'name': 'Sandro Tonali', 'substatValue': 0}",1,33,players,number,
956682,10261,"{'name': 'Sven Botman', 'substatValue': 0}",1,34,players,number,
760712,8650,"{'name': 'Trent Alexander-Arnold', 'substatValue': 0}",1,35,players,number,
1258092,8657,"{'name': 'William Osula', 'substatValue': 0}",1,36,players,number,
94086,9879,"{'name': 'Willian', 'substatValue': 0}",1,37,players,number,
